Transaction_ID,Year,State,Customer_ID,Customer_Type,Age_Group,Category,Product_ID,Quantity,Base_Price,Discount_Percentage,Payment_Method,BlackFriday_Week_Phase,Gender,Loyalty_Score,Final_Price
1,2020,VA,93127,New,56+,Fashion,1240,3,44.0,71.0,UPI,Black Friday,Female,86,12.76
2,2017,IA,46389,Regular,18-25,Fashion,9356,1,1534.0,8.0,UPI,Black Friday,Female,36,1411.28
3,2024,AK,13352,Prime,26-35,Sports,2496,4,1886.0,79.0,UPI,Black Friday,Female,85,396.06
4,2021,ID,93598,Prime,18-25,Fashion,1303,5,302.0,57.0,Credit,Black Friday,Other,17,129.86
5,2018,OK,38172,Regular,26-35,Sports,5774,4,1525.0,19.0,PayPal,Black Friday,Female,13,1235.25
6,2020,AZ,20937,Regular,36-45,Beauty,1911,2,149.0,21.0,Credit,Pre-BF,Other,59,117.71
7,2023,CA,90138,Regular,56+,Electronics,6093,3,1467.0,26.0,Debit,Black Friday,Female,94,1085.58
8,2016,AZ,98672,Prime,36-45,Fashion,7047,5,1954.0,38.0,Debit,Cyber Monday,Other,16,1211.48
9,2020,WA,76481,Prime,26-35,Fashion,3761,2,997.0,37.0,BNPL,Weekend Sale,Male,60,628.11
10,2024,ME,95348,New,26-35,Books,1605,2,840.0,29.0,UPI,Black Friday,Other,16,596.4
11,2024,AK,83509,New,18-25,Books,2038,1,384.0,18.0,Debit,Weekend Sale,Female,50,314.88
12,2021,UT,33552,Prime,26-35,Toys,1406,4,1653.0,54.0,Debit,Weekend Sale,Male,99,760.38
13,2018,OR,24118,Prime,18-25,Books,2071,2,513.0,34.0,Credit,Pre-BF,Female,49,338.58
14,2017,KY,21290,Regular,18-25,Sports,8830,2,475.0,26.0,PayPal,Cyber Monday,Other,2,351.5
15,2021,IN,35123,Prime,26-35,Sports,5209,2,1299.0,8.0,UPI,Weekend Sale,Male,8,1195.08
16,2021,NV,91919,Prime,18-25,Toys,7598,3,1859.0,76.0,UPI,Cyber Monday,Female,91,446.16
17,2016,NE,69551,New,56+,Electronics,5621,5,112.0,49.0,BNPL,Cyber Monday,Other,69,57.12
18,2019,GA,62136,New,36-45,Home,7088,1,1548.0,78.0,PayPal,Black Friday,Other,92,340.56
19,2018,AZ,73886,Regular,26-35,Home,5443,5,718.0,32.0,UPI,Weekend Sale,Other,58,488.24
20,2015,OK,85902,New,18-25,Toys,2452,2,1856.0,58.0,Credit,Pre-BF,Male,52,779.52
21,2021,PA,77333,Regular,18-25,Toys,3453,3,1941.0,62.0,UPI,Black Friday,Female,5,737.58
22,2019,MO,54016,Prime,18-25,Electronics,6499,2,310.0,69.0,Debit,Cyber Monday,Female,23,96.1
23,2015,MI,31427,Prime,18-25,Electronics,6180,4,1714.0,41.0,UPI,Weekend Sale,Female,42,1011.26
24,2018,WV,12257,Regular,56+,Beauty,7673,5,1385.0,58.0,Debit,Black Friday,Male,74,581.7
25,2014,RI,77733,New,26-35,Home,3987,1,1715.0,15.0,PayPal,Weekend Sale,Female,26,1457.75
26,2023,WA,18222,New,26-35,Beauty,3789,3,1578.0,20.0,Debit,Cyber Monday,Female,71,1262.4
27,2019,NJ,35187,Prime,56+,Fashion,1200,5,847.0,69.0,PayPal,Black Friday,Female,82,262.57
28,2022,MA,89688,New,56+,Sports,8825,2,487.0,48.0,BNPL,Pre-BF,Other,83,253.24
29,2014,NJ,30781,Regular,56+,Sports,7200,1,1551.0,47.0,Debit,Pre-BF,Female,2,822.03
30,2024,NV,21004,Prime,26-35,Electronics,9974,3,488.0,31.0,PayPal,Cyber Monday,Other,89,336.72
31,2024,NM,67600,New,46-55,Home,3760,2,1931.0,5.0,Credit,Weekend Sale,Other,44,1834.45
32,2023,MT,35515,Prime,36-45,Home,6225,2,1187.0,34.0,PayPal,Cyber Monday,Other,88,783.42
33,2016,TX,90952,Prime,56+,Beauty,5921,5,57.0,68.0,BNPL,Pre-BF,Other,67,18.24
34,2020,MI,81688,New,56+,Toys,4713,2,1769.0,41.0,Debit,Weekend Sale,Female,64,1043.71
35,2017,MA,82708,Regular,26-35,Toys,6652,2,1858.0,27.0,Credit,Pre-BF,Female,70,1356.34
36,2022,AL,13185,New,26-35,Electronics,4116,3,1102.0,31.0,PayPal,Weekend Sale,Other,91,760.38
37,2016,OR,64476,New,36-45,Books,4617,2,1207.0,32.0,Debit,Black Friday,Female,85,820.76
38,2018,IL,41212,New,18-25,Sports,6190,4,1465.0,34.0,BNPL,Weekend Sale,Other,18,966.9
39,2016,MA,84697,New,26-35,Toys,9955,4,562.0,55.0,UPI,Weekend Sale,Male,33,252.9
40,2020,VA,58533,New,36-45,Fashion,3894,1,116.0,6.0,BNPL,Weekend Sale,Female,46,109.04
41,2018,FL,93003,New,26-35,Home,5619,4,1561.0,75.0,BNPL,Black Friday,Other,80,390.25
42,2022,KY,97125,Regular,26-35,Toys,8290,4,1213.0,39.0,Debit,Pre-BF,Male,57,739.93
43,2020,WA,47630,Prime,26-35,Electronics,6188,5,789.0,33.0,Debit,Pre-BF,Female,85,528.63
44,2015,MA,78606,Regular,46-55,Fashion,5966,4,280.0,35.0,PayPal,Black Friday,Female,66,182.0
